Title,Imdb,Runtime,Year,Director,Platform,Genre
The Interview,6.5,1h 53min,2014,Seth Rogen,Hulu,"Action & Adventure, Comedy"
Moffie,6.8,1h 44min,2020,Oliver Hermanus,Hulu,"Romance, Drama, War & Military"
Night Raiders,5.2,1h 37min,2021,Danis Goulet,Hulu,"Science-Fiction, Action & Adventure, Mystery & Thriller"
Delivered,6.2,1h 20min,2020,Emma Tammi,Hulu,"Horror, Mystery & Thriller"
Three Minutes: A Lengthening,7.3,1h 9min,2022,Bianca Stigter,Hulu,"History, War & Military, Documentary"
Room 203,4.2,1h 44min,2022,Ben Jagger,Hulu,"Horror, Drama"
Blackfish,8.1,1h 23min,2013,Gabriela Cowperthwaite,Hulu,"Documentary, Drama"
Silo,5.9,1h 16min,2021,Marshall Josh Burnette,Hulu,"Drama, Mystery & Thriller"
Dig,4.3,1h 30min,2022,K. Asher Levin,Hulu,Mystery & Thriller
The Butler,7.2,2h 12min,2013,Lee Daniels,Hulu,"Drama, Made in Europe"
Ideal Home,6.4,1h 31min,2018,Andrew Fleming,Hulu,"Comedy, Drama"
My Old School,7.2,1h 44min,2022,Jono McLeod,Hulu,"Animation, Comedy, Drama, Documentary"
Shock and Awe,6.4,1h 30min,2018,Rob Reiner,Hulu,"Drama, Mystery & Thriller, History, War & Military"
7 Days,7.1,1h 26min,2021,Roshan Sethi,Hulu,"Romance, Comedy, Drama"
My Friend Dahmer,6.2,1h 47min,2017,Marc Meyers,Hulu,"Drama, Crime, Horror"
Jeepers Creepers: Reborn,2.5,1h 28min,2022,Timo Vuorensola,Hulu,"Mystery & Thriller, Horror"
The Congress,6.4,2h 2min,2013,Ari Folman,Hulu,"Drama, Science-Fiction, Animation, Made in Europe"
The Queen of Spain,5.2,2h 10min,2016,Fernando Trueba,Hulu,"Comedy, Drama, Made in Europe"
Happiest Season,6.6,1h 42min,2020,Clea DuVall,Hulu,"Romance, Horror, Comedy, Drama, Crime"
I Give It a Year,5.7,1h 37min,2013,Dan Mazer,Hulu,"Romance, Comedy, Made in Europe"
2:22,5.7,1h 39min,2017,Paul Currie,Hulu,"Science-Fiction, Mystery & Thriller, Horror, Drama, Romance"
The Good Witch of Christmas,3.6,1h 16min,2022,Francesco Cinquemani,Hulu,"Comedy, Kids & Family, Fantasy"
The Feast,5.5,1h 33min,2021,Lee Haven Jones,Hulu,"Horror, Mystery & Thriller, Drama"
The Last Victim,4.9,1h 43min,2022,Naveen A. Chathapuram,Hulu,"Western, Action & Adventure, Crime, Mystery & Thriller"
Paranoia,5.6,1h 46min,2013,Robert Luketic,Hulu,"Mystery & Thriller, Drama, Made in Europe"
My Scientology Movie,6.7,1h 39min,2016,John Dower,Hulu,Documentary
The Inhabitant,4.3,1h 37min,2022,Jerren Lauder,Hulu,"Horror, Mystery & Thriller"
Wander Darkly,5.8,1h 37min,2020,Tara Miele,Hulu,"Drama, Romance"
Code Name Banshee,3.6,1h 33min,2022,Jon Keeyes,Hulu,"Mystery & Thriller, Action & Adventure"
I Think We're Alone Now,5.7,1h 33min,2018,Reed Morano,Hulu,"Drama, Horror, Science-Fiction"
"I, Tonya",7.5,2h 1min,2017,Craig Gillespie,Hulu,"Drama, Sport, Comedy"
XX,4.6,1h 20min,2017,Roxanne Benjamin,Hulu,Horror
The Hater,4.4,1h 47min,2022,Joey Ally,Hulu,Comedy
A Long Way Down,6.3,1h 36min,2014,Pascal Chaumeil,Hulu,"Comedy, Drama"
Rambo: Last Blood,6.1,1h 41min,2019,Adrian Grünberg,Hulu,"Drama, Mystery & Thriller, Western, Action & Adventure, Crime"
After,5.3,1h 46min,2019,Jenny Gage,Hulu,"Drama, Romance"
Suitcase Killer: The Melanie McGuire Story,5.9,1h 25min,2022,Nicole L. Thompson,Hulu,Drama
The Feels,5.1,1h 28min,2017,Jenée LaMarque,Hulu,"Comedy, Drama, Romance"
Look at Me: XXXTentacion,7.5,1h 48min,2022,Sabaah Folayan,Hulu,"Documentary, Music & Musical"
Premature,6.5,1h 26min,2020,Rashaad Ernesto Green,Hulu,"Drama, Music & Musical, Romance"
V/H/S: Viral,4.2,1h 21min,2014,Nacho Vigalondo,Hulu,"Horror, Mystery & Thriller, Science-Fiction"
International Falls,5.8,1h 33min,2019,Amber McGinnis,Hulu,Comedy
A Banquet,4.8,1h 47min,2022,Ruth Paxton,Hulu,Horror
Machine Gun Kelly's Life In Pink,6.3,1h 42min,2022,Sam Cahill,Hulu,"Documentary, Music & Musical"
Blade of the Immortal,6.7,2h 20min,2017,Takashi Miike,Hulu,"Action & Adventure, Fantasy, Drama"
Maze,5.9,1h 32min,2017,Eve McConnachie,Hulu,"Drama, Mystery & Thriller, Music & Musical, Crime, History, Made in Europe"
Sacrifice,5.3,1h 31min,2016,Peter A. Dowling,Hulu,"Mystery & Thriller, Action & Adventure, Horror, Crime, Made in Europe"
Red Dog,6.8,1h 45min,2019,Casey Pinkston,Hulu,Documentary
V/H/S/2,6.0,1h 36min,2013,Adam Wingard,Hulu,"Mystery & Thriller, Horror, Science-Fiction"
Ordinary Love,6.6,1h 32min,2019,Lisa Barros D'Sa,Hulu,"Drama, Romance"
Swan Song,7.0,1h 45min,2021,Todd Stephens,Hulu,"Comedy, Drama"
This World Alone,5.2,1h 30min,2021,Jordan Noel,Hulu,Drama
Spencer,6.6,1h 51min,2021,Pablo Larraín,Hulu,"Drama, History, Romance"
Hell Hath No Fury,4.7,1h 34min,2021,Jesse V. Johnson,Hulu,"War & Military, Action & Adventure"
Titane,6.5,1h 48min,2021,Julia Ducournau,Hulu,"Drama, Horror, Science-Fiction, Mystery & Thriller"
The Unthinkable,6.0,2h 9min,2018,Victor Danell,Hulu,"Mystery & Thriller, Action & Adventure, Romance, Science-Fiction, Made in Europe"
Amulet,4.9,1h 39min,2020,Romola Garai,Hulu,Horror
Rogue,7.8,1h 45min,2020,M. J. Bassett,Hulu,Action & Adventure
The Cleaner,5.2,1h 33min,2021,Erin Elders,Hulu,"Action & Adventure, Crime, Drama, Mystery & Thriller"
Hold Your Fire,6.8,1h 33min,2021,Stefan Forbes,Hulu,Documentary
How to Please a Woman,6.2,1h 47min,2022,Renée Webster,Hulu,Drama
The Drover's Wife: The Legend of Molly Johnson,6.3,1h 49min,2022,Leah Purcell,Hulu,"Drama, Western, Mystery & Thriller, History"
The Deer King,6.3,1h 53min,2021,Masayuki Miyaji,Hulu,"Drama, Action & Adventure, Kids & Family, Fantasy, Animation"
Stardust,4.4,1h 44min,2020,Gabriel Range,Hulu,"Music & Musical, Drama"
The Cursed,6.2,1h 51min,2021,Sean Ellis,Hulu,"Horror, Fantasy, Drama"
Nitram,7.1,1h 52min,2021,Justin Kurzel,Hulu,"Drama, Mystery & Thriller"
Bad Reputation,7.3,1h 35min,2018,Kevin Kerslake,Hulu,"Documentary, Music & Musical"
Italian Studies,4.8,1h 21min,2022,Adam Leon,Hulu,Drama
American Siege,3.4,1h 30min,2022,Edward Drake,Hulu,"Mystery & Thriller, Action & Adventure"
Willy's Wonderland,5.5,1h 28min,2021,Kevin Lewis,Hulu,"Comedy, Horror, Mystery & Thriller, Action & Adventure"
Made in Abyss: Dawn of the Deep Soul,8.0,1h 45min,2020,Masayuki Kojima,Hulu,"Fantasy, Drama, Science-Fiction, Mystery & Thriller, Animation"
You Are Not My Mother,5.8,1h 33min,2022,Kate Dolan,Hulu,"Horror, Mystery & Thriller, Drama"
Little Fish,6.9,1h 41min,2021,Chad Hartigan,Hulu,"Romance, Science-Fiction, Drama"
Agnes,3.9,1h 33min,2021,Mickey Reece,Hulu,"Horror, Drama"
Spree,5.9,1h 33min,2020,Eugene Kotlyarenko,Hulu,"Mystery & Thriller, Horror, Comedy, Drama, Action & Adventure, Crime"
2067,4.9,1h 54min,2020,Seth Larney,Hulu,"Science-Fiction, Mystery & Thriller"
A Day to Die,3.5,1h 41min,2022,Wes Miller,Hulu,"Mystery & Thriller, Action & Adventure, Crime, Drama"
ABCs of Death 2,5.4,2h 5min,2014,Rodney Ascher,Hulu,"Horror, Mystery & Thriller, Fantasy, Science-Fiction, Comedy"
The Personal History of David Copperfield,6.4,1h 59min,2019,Armando Iannucci,Hulu,"Comedy, Drama"
The Killing of Two Lovers,6.9,1h 25min,2020,Robert Machoian,Hulu,"Drama, Mystery & Thriller"
Slay the Dragon,7.3,1h 41min,2020,Chris Durrance,Hulu,Documentary
Rams,6.5,1h 55min,2020,Jeremy Sims,Hulu,"Drama, Comedy"
The Last Son,4.8,1h 36min,2021,Tim Sutton,Hulu,"History, Mystery & Thriller, Western, Fantasy, Crime, Drama, Romance, Science-Fiction, War & Military, Action & Adventure"
Held,5.3,1h 34min,2020,Travis Cluff,Hulu,"Mystery & Thriller, Horror"
Benedetta,6.7,2h 11min,2021,Paul Verhoeven,Hulu,"History, Romance, Drama, Documentary"
Catch the Fair One,6.3,1h 25min,2022,Josef Wladyka,Hulu,"Mystery & Thriller, Crime"
In Dubious Battle,6.0,1h 50min,2016,James Franco,Hulu,"Drama, Western, Crime, History, Mystery & Thriller"
Nekrotronic,5.6,1h 39min,2018,Kiah Roache-Turner,Hulu,"Comedy, Horror, Science-Fiction, Action & Adventure"
GameStop: Rise of the Players,6.0,1h 34min,2022,Jonah Tulis,Hulu,Documentary
White Elephant,4.4,1h 33min,2022,Jesse V. Johnson,Hulu,"Mystery & Thriller, Action & Adventure, Crime"
Jawline,6.1,1h 39min,2019,Liza Mandelup,Hulu,Documentary
School Spirit,7.6,1h 24min,2019,Mike Gan,Hulu,Horror
A Taste of Hunger,6.3,1h 44min,2021,Christoffer Boe,Hulu,"Romance, Drama"
Siberia,4.3,1h 45min,2018,Matthew Ross,Hulu,"Mystery & Thriller, Made in Europe, Romance, Crime"
Good Kids,6.1,1h 26min,2016,Chris McCoy,Hulu,"Comedy, Drama"
Pharma Bro,5.1,1h 25min,2021,Brent Hodge,Hulu,Documentary
I Love My Dad,6.4,1h 30min,2022,James Morosini,Hulu,Comedy
"Love, Gilda",7.4,1h 24min,2018,Lisa D’Apolito,Hulu,Documentary
Playing God,5.2,1h 36min,2021,Scott Brignac,Hulu,"Drama, Comedy"
You Can't Kill Meme,3.6,1h 18min,2021,Hayley Garrigus,Hulu,Documentary
Journey to the West: Conquering the Demons,6.7,1h 50min,2013,Derek Kwok,Hulu,"Action & Adventure, Fantasy, Comedy, Romance, Horror, Drama"
Out of Death,3.3,1h 35min,2021,Mike Burns,Hulu,"Mystery & Thriller, Crime, Action & Adventure"
Dreaming Walls: Inside the Chelsea Hotel,6.1,1h 20min,2022,Maya Duverdier,Hulu,Documentary
Queens of Pain,7.2,1h 14min,2020,Cassie Hay,Hulu,Documentary
Sharp Stick,4.9,1h 36min,2022,Lena Dunham,Hulu,Comedy
Clean,5.6,1h 33min,2022,Paul Solet,Hulu,"Crime, Action & Adventure, Drama, Mystery & Thriller"
A Million Little Pieces,6.2,1h 53min,2019,Sam Taylor-Johnson,Hulu,Drama
About Endlessness,6.8,1h 18min,2019,Roy Andersson,Hulu,"Drama, Fantasy"
Between Me and My Mind,7.6,1h 40min,2019,Steven Cantor,Hulu,Documentary
Fire Island,6.7,1h 46min,2022,Andrew Ahn,Hulu,"Comedy, Romance"
Officer Downe,4.2,1h 28min,2016,Shawn Crahan,Hulu,"Comedy, Action & Adventure, Science-Fiction"
Last Looks,5.8,1h 51min,2022,Tim Kirkby,Hulu,"Mystery & Thriller, Crime, Action & Adventure, Comedy"
Gold,5.4,1h 37min,2022,Anthony Hayes,Hulu,"Mystery & Thriller, Action & Adventure"
99 Homes,7.1,1h 52min,2015,Ramin Bahrani,Hulu,"Drama, Crime"
If Beale Street Could Talk,7.1,2h 0min,2018,Barry Jenkins,Hulu,"Drama, Romance, Crime"
Downhill,4.9,1h 25min,2020,Jim Rash,Hulu,"Drama, Comedy"
AWOL,5.6,1h 22min,2017,Deb Shoval,Hulu,"Drama, Romance"
Here Before,5.8,1h 23min,2021,Stacey Gregg,Hulu,"Drama, Mystery & Thriller"
Stars at Noon,5.5,2h 18min,2022,Claire Denis,Hulu,"Mystery & Thriller, Romance, Drama"
Assailant,5.3,1h 37min,2022,Tom Paton,Hulu,Mystery & Thriller
Prisoners of the Sun,3.7,1h 24min,2013,Roger Christian,Hulu,"Horror, Action & Adventure"
Into the Dark: I'm Just F*cking With You,5.6,1h 21min,2019,Adam Mason,Hulu,"Horror, Mystery & Thriller, Comedy"
The Meaning of Hitler,6.3,1h 32min,2021,Michael Tucker,Hulu,Documentary
We Are Freestyle Love Supreme,6.9,1h 30min,2020,Andrew Fried,Hulu,"Documentary, Comedy"
All Roads Lead to Rome,4.9,1h 30min,2016,Ella Lemhagen,Hulu,"Comedy, Drama, Romance, Made in Europe"
Dual,5.8,1h 35min,2022,Riley Stearns,Hulu,"Comedy, Science-Fiction, Mystery & Thriller, Drama"
Vendetta,3.7,1h 36min,2022,Jared Cohn,Hulu,"Action & Adventure, Mystery & Thriller"
47 Meters Down,5.6,1h 29min,2017,Johannes Roberts,Hulu,"Mystery & Thriller, Horror, Drama"
Wyrm,6.6,1h 37min,2019,Christopher Winterbauer,Hulu,"Science-Fiction, Comedy"
WeWork: or The Making and Breaking of a $47 Billion Unicorn,6.6,1h 44min,2021,Jed Rothstein,Hulu,Documentary
I Smile Back,6.2,1h 25min,2015,Adam Salky,Hulu,Drama
Stop and Go,6.2,1h 20min,2021,Mallory Everton,Hulu,"Comedy, Drama"
Topside,6.0,1h 25min,2022,Celine Held,Hulu,Drama
Ride the Eagle,6.3,1h 29min,2021,Trent O'Donnell,Hulu,"Drama, Comedy"
Wild Horses,4.8,1h 40min,2015,Robert Duvall,Hulu,"Drama, Mystery & Thriller, Western, Crime"
The Valet,6.7,2h 4min,2022,Richard Wong,Hulu,"Comedy, Romance, Drama"
Feral State,4.7,1h 18min,2021,Jon Carlo,Hulu,Mystery & Thriller
Unplugging,4.4,1h 34min,2022,Debra Neil-Fisher,Hulu,"Comedy, Romance"
Legion of Brothers,5.9,1h 19min,2017,Greg Barker,Hulu,"Documentary, War & Military"
The Internship,6.3,1h 59min,2013,Shawn Levy,Hulu,Comedy
Alone,6.2,1h 38min,2020,John Hyams,Hulu,"Mystery & Thriller, Horror, Drama"
On the Count of Three,7.0,1h 26min,2022,Jerrod Carmichael,Hulu,"Drama, Comedy, Crime"
Cryptozoo,6.4,1h 35min,2021,Dash Shaw,Hulu,"Animation, Fantasy"
Night of the Kings,6.5,1h 33min,2021,Philippe Lacôte,Hulu,"Drama, Fantasy"
Crock of Gold: A Few Rounds with Shane MacGowan,7.8,2h 4min,2020,Julien Temple,Hulu,"Drama, Music & Musical, Documentary"
We Broke Up,5.1,1h 20min,2021,Jeff Rosenberg,Hulu,"Comedy, Drama, Romance"
Savage State,5.1,1h 56min,2020,David Perrault,Hulu,"Western, Made in Europe"
The Owners,5.0,1h 32min,2020,Julius Berg,Hulu,"Mystery & Thriller, Horror"
Collective,8.1,1h 49min,2019,Alexander Nanau,Hulu,"Documentary, Crime"
Hostiles,7.2,2h 14min,2017,Scott Cooper,Hulu,"Western, Drama, History, Documentary"
Honeymoon,5.7,1h 28min,2014,Leigh Janiak,Hulu,"Horror, Science-Fiction, Romance, Mystery & Thriller, Drama, Fantasy"
Alone Together,5.4,1h 41min,2022,Katie Holmes,Hulu,"Drama, Romance"
Riders of Justice,7.5,1h 56min,2020,Anders Thomas Jensen,Hulu,"Comedy, Drama, Action & Adventure, Made in Europe"
Alan Partridge: Alpha Papa,6.9,1h 30min,2013,Declan Lowney,Hulu,"Comedy, Crime, Action & Adventure, Made in Europe"
Press Play,6.0,1h 25min,2022,Greg Björkman,Hulu,"Drama, Music & Musical, Romance, Science-Fiction"
Cowboys,6.3,1h 23min,2020,Anna Kerrigan,Hulu,Drama
Rising Wolf,3.5,1h 42min,2021,Antaine Furlong,Hulu,"Science-Fiction, Mystery & Thriller, Fantasy"
President,7.6,1h 55min,2021,Camilla Nielsson,Hulu,Documentary
"Standing Up, Falling Down",6.5,1h 31min,2020,Matt Ratner,Hulu,"Drama, Comedy"
The Vigil,5.8,1h 28min,2020,Keith Thomas,Hulu,"Mystery & Thriller, Horror"
Bitterbrush,7.3,1h 30min,2021,Emelie Coleman Mahdavian,Hulu,Documentary
The Desperate Hour,4.9,1h 24min,2021,Phillip Noyce,Hulu,Mystery & Thriller
The Dinner,4.5,2h 0min,2017,Oren Moverman,Hulu,"Mystery & Thriller, Drama, Crime, Made in Europe"
The Enforcer,5.3,1h 30min,2022,Richard Hughes,Hulu,"Drama, Mystery & Thriller, Crime, Action & Adventure"
Red Penguins,6.8,1h 20min,2019,Gabe Polsky,Hulu,"Documentary, Sport"
kid 90,6.8,1h 11min,2021,Soleil Moon Frye,Hulu,"Documentary, History, Kids & Family"
Censor,6.0,1h 24min,2021,Prano Bailey-Bond,Hulu,Horror
100% Wolf,5.6,1h 36min,2020,Alexs Stadermann,Hulu,"Fantasy, Animation, Comedy, Kids & Family"
God Forbid: The Sex Scandal That Brought Down a Dynasty,6.8,1h 49min,2022,Billy Corben,Hulu,Documentary
All My Puny Sorrows,6.1,1h 43min,2021,Michael McGowan,Hulu,Drama
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",8.0,1h 57min,2021,Questlove,Hulu,"Documentary, Music & Musical, History"
Barbarians,4.7,1h 30min,2021,Charles Dorfman,Hulu,"Mystery & Thriller, Horror, Crime"
The Bob's Burgers Movie,7.0,1h 42min,2022,Loren Bouchard,Hulu,"Comedy, Animation, Mystery & Thriller, Crime, Drama"
Still,5.2,1h 36min,2018,Takashi Doscher,Hulu,"Drama, Fantasy"
Spirit Untamed,5.5,1h 27min,2021,Elaine Bogan,Hulu,"Western, Comedy, Kids & Family, Animation"
Into the Deep,4.5,1h 30min,2022,Kate Cox,Hulu,Mystery & Thriller
The Shack,6.2,2h 12min,2017,Stuart Hazeldine,Hulu,"Drama, Fantasy"
Rogue Hostage,3.4,1h 34min,2021,Jon Keeyes,Hulu,"Action & Adventure, Mystery & Thriller"
The Hating Game,6.2,1h 42min,2021,Peter Hutchings,Hulu,"Romance, Comedy"
Becoming Bond,7.5,1h 31min,2017,Josh Greenbaum,Hulu,"Documentary, Comedy, Romance, History"
Wounds,4.1,1h 35min,2019,Babak Anvari,Hulu,"Mystery & Thriller, Drama, Horror"
Forsaken,6.4,1h 30min,2015,Jon Cassar,Hulu,"Western, Action & Adventure, Drama"
The Lodge,6.0,1h 40min,2020,Veronika Franz,Hulu,"Drama, Horror, Mystery & Thriller, Made in Europe"
One Way,4.0,1h 36min,2022,Andrew Baird,Hulu,"Mystery & Thriller, Action & Adventure"
Crime + Punishment,7.4,1h 51min,2018,Stephen T. Maing,Hulu,Documentary
No Exit,6.1,1h 35min,2022,Damien Power,Hulu,"Mystery & Thriller, Horror, Drama"
Neat: The Story of Bourbon,7.5,1h 15min,2018,David M. Altrogge,Hulu,Documentary
Untouchable,6.7,1h 38min,2019,Ursula Macfarlane,Hulu,"Documentary, Crime, Made in Europe"
Rise of the Footsoldier: Origins,5.8,1h 47min,2021,Nick Nevern,Hulu,"Drama, Action & Adventure, Crime"
"All Light, Everywhere",6.9,1h 49min,2021,Theo Anthony,Hulu,Documentary
Collide,4.2,1h 30min,2022,Mukunda Michael Dewil,Hulu,"Mystery & Thriller, Drama"
Enemies of the State,6.0,1h 43min,2021,Sonia Kennebeck,Hulu,Documentary
Obey Giant,7.3,1h 30min,2017,James Moll,Hulu,Documentary
Tell It to the Bees,6.4,1h 45min,2019,Annabel Jankel,Hulu,"Romance, Drama"
Johnny English Strikes Again,6.2,1h 29min,2018,David Kerr,Hulu,"Comedy, Action & Adventure, Made in Europe"
The Last Rite,3.6,1h 47min,2021,Leroy Kincaide,Hulu,"Horror, Mystery & Thriller"
Come True,6.0,1h 45min,2020,Anthony Scott Burns,Hulu,"Horror, Science-Fiction"
The Last Tourist,7.1,1h 24min,2021,Tyson Sadler,Hulu,Documentary
The Estate,4.7,1h 25min,2021,James Kapner,Hulu,"Mystery & Thriller, Comedy"
I Am Not Your Negro,7.9,1h 33min,2017,Raoul Peck,Hulu,"Documentary, History, Made in Europe"
The Virtuoso,4.9,1h 45min,2021,Nick Stagliano,Hulu,"Crime, Mystery & Thriller, Action & Adventure"
Accident Man: Hitman's Holiday,5.9,1h 36min,2022,Harry Kirby,Hulu,"Comedy, Crime, Action & Adventure"
Madonna and the Breakfast Club,6.5,1h 45min,2019,Guy Guido,Hulu,"Drama, Documentary"
The Truth About Christmas,5.6,2h 0min,2018,Jay Karas,Hulu,"Drama, Comedy, Romance"
Christmas Belle,5.0,1h 30min,2013,Alex Wright,Hulu,"Romance, Drama, Kids & Family"
Jacinta,7.4,1h 45min,2021,Jessica Earnshaw,Hulu,Documentary
Bergman Island,6.7,1h 53min,2021,Mia Hansen-Løve,Hulu,"Romance, Drama"
"Mark, Mary + Some Other People",5.6,1h 30min,2021,Hannah Marks,Hulu,"Drama, Comedy"
The Ledge,5.1,1h 26min,2022,Howard J. Ford,Hulu,"Mystery & Thriller, Action & Adventure"
Stage Mother,6.5,1h 33min,2020,Thom Fitzgerald,Hulu,"Comedy, Drama, Music & Musical"
Lorelei,6.4,1h 51min,2020,Sabrina Doyle,Hulu,Drama
12 Hour Shift,5.5,1h 26min,2020,Brea Grant,Hulu,"Horror, Mystery & Thriller, Comedy"
I'm Your Man,7.1,1h 48min,2021,Maria Schrader,Hulu,"Romance, Science-Fiction, Comedy, Drama"
A Nasty Piece of Work,6.7,1h 30min,2019,Charles Hood,Hulu,"Horror, Mystery & Thriller"
Not Okay,6.1,1h 40min,2022,Quinn Shephard,Hulu,"Drama, Comedy"
Dumb: The Story of Big Brother Magazine,7.4,1h 19min,2017,Patrick O'Dell,Hulu,Documentary
Pure,7.3,1h 30min,2019,Hannah Macpherson,Hulu,Horror
To Chiara,6.8,2h 1min,2021,Jonas Carpignano,Hulu,Drama
Lupin III: The First,6.9,1h 33min,2019,Takashi Yamazaki,Hulu,"Animation, Action & Adventure, Crime, Kids & Family, Comedy"
The Sweet Life,6.2,1h 30min,2017,Rob Spera,Hulu,"Drama, Comedy, Romance"
Flee,7.9,1h 29min,2021,Antonis Goumas,Hulu,"Animation, Made in Europe, Drama, Documentary"
The Outside Story,6.4,1h 25min,2021,Casimir Nozkowski,Hulu,"Drama, Comedy"
Homeroom,5.7,1h 30min,2021,Peter Nicks,Hulu,Documentary
The Standard,7.0,1h 31min,2020,Phil Wall,Hulu,"Documentary, Sport"
Derek DelGaudio's In & Of Itself,8.2,1h 30min,2021,Frank Oz,Hulu,Documentary
The Eyes of My Mother,6.2,1h 16min,2016,Nicolas Pesce,Hulu,"Horror, Drama, Mystery & Thriller"
First Date,5.4,1h 43min,2021,Darren Knapp,Hulu,"Mystery & Thriller, Crime, Comedy"
Body at Brighton Rock,4.8,1h 28min,2019,Roxanne Benjamin,Hulu,"Mystery & Thriller, Fantasy, Horror, Comedy, Drama"
Best Summer Ever,5.5,1h 12min,2020,Lauren Smitelli,Hulu,"Music & Musical, Comedy, Romance"
Intrigo: Dear Agnes,5.1,1h 40min,2019,Daniel Alfredson,Hulu,"Drama, Mystery & Thriller, Crime"
Grimcutty,4.3,1h 41min,2022,John Ross,Hulu,"Horror, Drama, Mystery & Thriller"
Pound of Flesh,5.1,1h 44min,2015,Ernie Barbarash,Hulu,"Action & Adventure, Mystery & Thriller"
Ted K,6.0,2h 0min,2021,Tony Stone,Hulu,"Drama, Crime"
Falling for Figaro,6.4,1h 44min,2021,Ben Lewin,Hulu,"Romance, Comedy, Music & Musical"
Self/less,6.5,1h 57min,2015,Tarsem Singh,Hulu,"Action & Adventure, Science-Fiction, Mystery & Thriller, Drama"
MLK/FBI,7.0,1h 44min,2021,Sam Pollard,Hulu,"Documentary, History"
Minamata,7.2,1h 55min,2020,Andrew Levitas,Hulu,"Drama, History"
Wildhood,6.9,1h 47min,2022,Bretten Hannam,Hulu,"Drama, Romance"
Indemnity,4.8,2h 4min,2022,Travis Taute,Hulu,"Mystery & Thriller, Action & Adventure, Crime"
Endless,4.7,1h 35min,2020,Scott Speer,Hulu,"Drama, Comedy, Horror, Romance, Mystery & Thriller"
Satanic,3.7,1h 24min,2016,Jeffrey G. Hunt,Hulu,"Horror, Mystery & Thriller"
American Underdog,7.1,1h 52min,2021,Jon Erwin,Hulu,"Drama, Sport"
The Etruscan Smile,6.9,1h 43min,2019,Mihal Brezis,Hulu,Drama
K: Missing Kings,6.8,1h 14min,2014,Shingo Suzuki,Hulu,"Action & Adventure, Animation, Fantasy"
Last Survivors,4.8,1h 38min,2021,Drew Mylrea,Hulu,"Mystery & Thriller, Science-Fiction"
The Grand Seduction,7.0,1h 52min,2014,Don McKellar,Hulu,Comedy
You Cannot Kill David Arquette,7.1,1h 31min,2020,David Darg,Hulu,"Documentary, Sport"
Billie,6.8,1h 36min,2020,James Erskine,Hulu,"Documentary, Music & Musical, History"
Two of Us,7.2,1h 35min,2020,Filippo Meneghetti,Hulu,"Drama, Romance, Comedy"
Intrigo: Death of an Author,5.7,1h 46min,2018,Daniel Alfredson,Hulu,"Crime, Mystery & Thriller, Drama, Made in Europe"
In the Earth,5.1,1h 47min,2021,Ben Wheatley,Hulu,"Horror, Mystery & Thriller, Science-Fiction"
Ammonite,6.5,1h 58min,2020,Francis Lee,Hulu,"Drama, Romance, History"
Every Breath You Take,5.3,1h 45min,2021,Vaughn Stein,Hulu,"Mystery & Thriller, Drama"
Christmas in the Heartland,5.8,1h 30min,2017,Harvey Lowry,Hulu,"Kids & Family, Drama, Comedy"
The Orange Years: The Nickelodeon Story,7.5,1h 42min,2018,Scott Barber,Hulu,Documentary
Four Good Days,6.5,1h 40min,2021,Rodrigo García,Hulu,Drama
Shadow in the Cloud,5.0,1h 23min,2020,Roseanne Liang,Hulu,"Horror, Action & Adventure, War & Military"
The Force,6.8,1h 20min,2017,Peter Nicks,Hulu,Documentary
The Painter and the Thief,7.5,1h 43min,2020,Benjamin Ree,Hulu,Documentary
Killing Gunther,4.8,1h 32min,2017,Taran Killam,Hulu,"Comedy, Action & Adventure, Mystery & Thriller"
Her Smell,6.0,2h 16min,2019,Alex Ross Perry,Hulu,"Drama, Music & Musical"
RBG,7.6,1h 37min,2018,Julie Cohen,Hulu,Documentary
One Shot,5.6,1h 37min,2021,James Nunn,Hulu,"Action & Adventure, Mystery & Thriller"
Dream Horse,6.9,1h 53min,2021,Euros Lyn,Hulu,"Comedy, Drama, Sport"
The Beach Bum,5.5,1h 35min,2019,Harmony Korine,Hulu,"Comedy, Made in Europe"
My Valentine,5.4,1h 19min,2020,Maggie Levin,Hulu,"Horror, Mystery & Thriller"
Antlers,5.9,1h 39min,2021,Scott Cooper,Hulu,"Horror, Mystery & Thriller, Drama, Action & Adventure, Crime, Fantasy"
Racing Extinction,8.2,1h 34min,2015,Louie Psihoyos,Hulu,"Action & Adventure, Documentary, Drama, Mystery & Thriller"
Son of God,5.8,2h 18min,2014,Christopher Spencer,Hulu,"Drama, History, Made in Europe"
Matriarch,4.5,1h 25min,2022,Ben Steiner,Hulu,Horror
The Postcard Killings,5.7,1h 41min,2020,Danis Tanović,Hulu,"Drama, Mystery & Thriller, Crime"
How to Be Single,6.1,1h 50min,2016,Christian Ditter,Hulu,"Comedy, Drama, Romance"
Let Us In,4.4,1h 24min,2021,Craig Moss,Hulu,"Mystery & Thriller, Science-Fiction, Horror"
Ask Dr. Ruth,7.7,1h 40min,2019,Ryan White,Hulu,Documentary
Hunt for the Skinwalker,4.5,2h 7min,2018,Jeremy Kenyon Lockyer Corbell,Hulu,Documentary
Big Time Adolescence,6.9,1h 31min,2020,Jason Orley,Hulu,"Comedy, Drama"
Gone in the Night,4.9,1h 30min,2022,Eli Horowitz,Hulu,"Drama, Mystery & Thriller"
