Title,Imdb,Runtime,Year,Director,Platform,Genre
Too Old for Fairy Tales,6.2,1h 46min,2022,Kristoffer Rus,Netflix,"Comedy, Kids & Family"
Class of '83,5.8,1h 38min,2020,Atul Sabharwal,Netflix,"Crime, Drama, Action & Adventure, Mystery & Thriller"
Tremors: Shrieker Island,6.196438356164386,1h 42min,2020,Don Michael Paul,Netflix,Horror
Don't Leave,5.2,1h 47min,2022,Ozan Açıktan,Netflix,"Romance, Drama"
My Daughter's Killer,6.8,1h 23min,2022,Antoine Tassin,Netflix,"Documentary, Crime"
What We Leave Behind,6.8,1h 11min,2022,Iliana Sosa,Netflix,Documentary
The Women and the Murderer,6.4,1h 32min,2021,Patricia Tourancheau,Netflix,"Documentary, Crime"
John Was Trying to Contact Aliens,6.196438356164386,16min,2020,Matthew Killip,Netflix,Documentary
Borrego,5.3,1h 42min,2022,Jesse Harris,Netflix,Mystery & Thriller
Untold: Breaking Point,7.6,1h 19min,2021,Chapman Way,Netflix,"Documentary, Sport"
Av: The Hunt,5.3,1h 26min,2021,Emre Akay,Netflix,"Mystery & Thriller, Action & Adventure"
Drifting Home,6.2,1h 59min,2022,Hiroyasu Ishida,Netflix,"Kids & Family, Fantasy, Animation, Drama"
The Post-Truth World,6.5,2h 0min,2022,If Chen,Netflix,"Mystery & Thriller, Drama, Crime"
Blood Line,2.3,1h 33min,2020,Rami Yasin,Netflix,"Horror, Drama, Mystery & Thriller"
The Gunman,5.8,1h 45min,2015,Pierre Morel,Netflix,"Drama, Made in Europe, Crime, Mystery & Thriller, Action & Adventure"
Enola Holmes,6.6,2h 3min,2020,Harry Bradbeer,Netflix,"Comedy, Drama, Action & Adventure, Crime"
Shania Twain: Not Just a Girl,7.0,1h 28min,2022,Joss Crowley,Netflix,"Documentary, Music & Musical"
Private Lesson,4.5,1h 29min,2022,Kıvanç Baruönü,Netflix,"Romance, Comedy"
Athena,6.8,1h 37min,2022,Romain Gavras,Netflix,"Drama, Horror, Action & Adventure, Mystery & Thriller"
My Next Guest with David Letterman and Volodymyr Zelenskyy,6.196438356164386,44min,2022,Michael Steed,Netflix,Documentary
Jumping from High Places,5.7,1h 28min,2022,Andrea Jublin,Netflix,"Comedy, Drama, Romance"
Have a Good Trip: Adventures in Psychedelics,6.8,1h 26min,2020,Donick Cary,Netflix,"Documentary, Comedy"
Ouija: Origin of Evil,4.9,1h 39min,2016,Mike Flanagan,Netflix,"Horror, Mystery & Thriller, Drama"
Nobody Sleeps in the Woods Tonight,4.9,1h 42min,2020,Bartosz M. Kowalski,Netflix,"Mystery & Thriller, Horror, Drama, Fantasy, Romance, Made in Europe"
Vampires vs. the Bronx,5.7,1h 26min,2020,Oz Rodriguez,Netflix,"Comedy, Horror"
Avengement,6.6,1h 30min,2019,Jesse V. Johnson,Netflix,"Crime, Action & Adventure, Mystery & Thriller"
Ammar,2.6,1h 30min,2020,Mahmoud Kamel,Netflix,Horror
Delivery by Christmas,5.5,1h 37min,2022,Aleksandra Kułakowska,Netflix,"Romance, Comedy"
Day Shift,6.1,1h 53min,2022,J.J. Perry,Netflix,"Comedy, Fantasy, Horror, Mystery & Thriller, Romance, Kids & Family, Action & Adventure"
Thai Massage,6.2,2h 0min,2022,Mangesh Hadawale,Netflix,"Comedy, Drama"
Why Did You Kill Me?,5.6,1h 23min,2021,Fredrick Munk,Netflix,"Crime, Documentary"
I Am Vanessa Guillen,6.3,1h 35min,2022,Christy Wegener,Netflix,"Documentary, Crime"
Missing Link,6.7,1h 33min,2019,Chris Butler,Netflix,"Comedy, Kids & Family, Fantasy, Animation"
Straight Up,6.9,1h 35min,2020,James Sweeney,Netflix,"Comedy, Romance"
The Munsters,4.5,1h 50min,2022,Rob Zombie,Netflix,"Comedy, Documentary, Kids & Family, Fantasy, Horror, Science-Fiction"
Home,6.6,1h 34min,2015,Tim Johnson,Netflix,"Animation, Science-Fiction, Kids & Family, Fantasy, Comedy"
Qala,7.2,1h 59min,2022,Anvita Dutt,Netflix,"Drama, History, Horror, Music & Musical, Mystery & Thriller"
Warriors of Future,5.6,1h 41min,2022,Ng Yuen-fai,Netflix,"Science-Fiction, Drama, Action & Adventure, Mystery & Thriller"
Murder by the Coast,6.5,1h 28min,2021,Tània Balló,Netflix,"Documentary, Crime, History, Mystery & Thriller"
